id,名前,属性,試合数,勝,敗,分,未決着,勝率(%),平均決着ターン
yamaarashi,山嵐,チョキ,30,18,6,6,0,70.0,2.67
kami,紙,パー,30,20,8,2,0,70.0,3.00
ishi,石,グー,30,18,10,2,0,63.3,3.33
hasami,はさみ,チョキ,30,16,8,6,0,63.3,2.93
tenohira,手のひら,パー,30,18,10,2,0,63.3,5.80
hasamimushi,ハサミムシ,チョキ,30,16,10,4,0,60.0,3.07
kenro,堅牢,グー,30,16,12,2,0,56.7,4.93
uchiwa,団扇,パー,30,16,12,2,0,56.7,2.93
magyu,魔球,グー,30,14,14,2,0,50.0,3.07
issen,一閃,チョキ,30,12,16,2,0,43.3,1.67
utsuwa,器,パー,30,12,16,2,0,43.3,4.00
tekken,鉄拳,グー,30,10,16,4,0,40.0,2.20
ghost,ゴースト,パー,30,10,18,2,0,36.7,2.47
funsai,粉砕,グー,30,4,24,2,0,16.7,1.00
bara,バラ,チョキ,30,4,24,2,0,16.7,2.67
